DAY,HR,MI,MMEPOOL,REGION,MARKET,MARKET_DESC,SITE,ENODEB,EUTRANCELL,CARRIER,FREQ,SAMPLES_CELL_AVAIL,SAMPLES_CELL_PLAN_UNAVAIL,RRC_CONNECTED_UE_AVG,AS_CELL_AVAILABILITY:SAMPLES_CELL_AVAIL,AS_CELL_AVAILABILITY:SAMPLES_CELL_PLAN_UNAVAIL,AS_UE_QUANTITY:RRC_CONNECTED_UE_AVG
12/26/2022,05,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,21,900,0,21
12/26/2022,05,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,17,900,0,17
12/26/2022,05,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,15,900,0,15
12/26/2022,05,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,12,900,0,12
12/26/2022,05,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,5,900,0,5
12/26/2022,05,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,7,900,0,7
12/26/2022,05,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,20,900,0,20
12/26/2022,05,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,20,900,0,20
12/26/2022,05,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,16,900,0,16
12/26/2022,05,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,9,900,0,9
12/26/2022,05,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,5,900,0,5
12/26/2022,05,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,7,900,0,7
12/26/2022,06,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,21,900,0,21
12/26/2022,06,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,21,900,0,21
12/26/2022,06,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,18,900,0,18
12/26/2022,06,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,9,900,0,9
12/26/2022,06,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,5,900,0,5
12/26/2022,06,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,6,900,0,6
12/26/2022,06,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,20,900,0,20
12/26/2022,06,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,24,900,0,24
12/26/2022,06,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,17,900,0,17
12/26/2022,06,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,10,900,0,10
12/26/2022,06,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,4,900,0,4
12/26/2022,06,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,8,900,0,8
12/26/2022,06,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,21,900,0,21
12/26/2022,06,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,24,900,0,24
12/26/2022,06,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,19,900,0,19
12/26/2022,06,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,11,900,0,11
12/26/2022,06,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,6,900,0,6
12/26/2022,06,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,7,900,0,7
12/26/2022,06,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,22,900,0,22
12/26/2022,06,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,23,900,0,23
12/26/2022,06,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,18,900,0,18
12/26/2022,06,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,12,900,0,12
12/26/2022,06,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,5,900,0,5
12/26/2022,06,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,8,900,0,8
12/26/2022,07,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,22,900,0,22
12/26/2022,07,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,24,900,0,24
12/26/2022,07,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,17,900,0,17
12/26/2022,07,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,12,900,0,12
12/26/2022,07,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,5,900,0,5
12/26/2022,07,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,9,900,0,9
12/26/2022,07,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,20,900,0,20
12/26/2022,07,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,23,900,0,23
12/26/2022,07,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,19,900,0,19
12/26/2022,07,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,15,900,0,15
12/26/2022,07,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,5,900,0,5
12/26/2022,07,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,11,900,0,11
12/26/2022,07,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,26,900,0,26
12/26/2022,07,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,20,900,0,20
12/26/2022,07,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,17,900,0,17
12/26/2022,07,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,15,900,0,15
12/26/2022,07,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,6,900,0,6
12/26/2022,07,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,9,900,0,9
12/26/2022,07,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,30,900,0,30
12/26/2022,07,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,19,900,0,19
12/26/2022,07,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,23,900,0,23
12/26/2022,07,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,14,900,0,14
12/26/2022,07,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,7,900,0,7
12/26/2022,07,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,11,900,0,11
12/26/2022,08,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,31,900,0,31
12/26/2022,08,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,27,900,0,27
12/26/2022,08,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,24,900,0,24
12/26/2022,08,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,18,900,0,18
12/26/2022,08,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,7,900,0,7
12/26/2022,08,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,12,900,0,12
12/26/2022,08,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,36,900,0,36
12/26/2022,08,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,26,900,0,26
12/26/2022,08,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,25,900,0,25
12/26/2022,08,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,17,900,0,17
12/26/2022,08,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,8,900,0,8
12/26/2022,08,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,11,900,0,11
12/26/2022,08,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,36,900,0,36
12/26/2022,08,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,22,900,0,22
12/26/2022,08,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,29,900,0,29
12/26/2022,08,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,18,900,0,18
12/26/2022,08,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,9,900,0,9
12/26/2022,08,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,12,900,0,12
12/26/2022,08,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,34,900,0,34
12/26/2022,08,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,24,900,0,24
12/26/2022,08,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,29,900,0,29
12/26/2022,08,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,18,900,0,18
12/26/2022,08,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,8,900,0,8
12/26/2022,08,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,13,900,0,13
12/26/2022,09,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,38,900,0,38
12/26/2022,09,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,26,900,0,26
12/26/2022,09,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,32,900,0,32
12/26/2022,09,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,17,900,0,17
12/26/2022,09,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,10,900,0,10
12/26/2022,09,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,14,900,0,14
12/26/2022,09,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,38,900,0,38
12/26/2022,09,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,27,900,0,27
12/26/2022,09,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,29,900,0,29
12/26/2022,09,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,20,900,0,20
12/26/2022,09,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,10,900,0,10
12/26/2022,09,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,13,900,0,13
12/26/2022,09,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,38,900,0,38
12/26/2022,09,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,31,900,0,31
12/26/2022,09,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,31,900,0,31
12/26/2022,09,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,21,900,0,21
12/26/2022,09,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,9,900,0,9
12/26/2022,09,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,14,900,0,14
12/26/2022,09,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,40,900,0,40
12/26/2022,09,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,30,900,0,30
12/26/2022,09,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,25,900,0,25
12/26/2022,09,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,21,900,0,21
12/26/2022,09,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,8,900,0,8
12/26/2022,09,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,14,900,0,14
12/26/2022,10,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,44,900,0,44
12/26/2022,10,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,25,900,0,25
12/26/2022,10,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,27,900,0,27
12/26/2022,10,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,20,900,0,20
12/26/2022,10,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,10,900,0,10
12/26/2022,10,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,16,900,0,16
12/26/2022,10,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,45,900,0,45
12/26/2022,10,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,22,900,0,22
12/26/2022,10,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,24,900,0,24
12/26/2022,10,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,19,900,0,19
12/26/2022,10,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,13,900,0,13
12/26/2022,10,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,15,900,0,15
12/26/2022,10,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,40,900,0,40
12/26/2022,10,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,27,900,0,27
12/26/2022,10,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,24,900,0,24
12/26/2022,10,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,21,900,0,21
12/26/2022,10,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,12,900,0,12
12/26/2022,10,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,17,900,0,17
12/26/2022,10,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,46,900,0,46
12/26/2022,10,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,26,900,0,26
12/26/2022,10,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,24,900,0,24
12/26/2022,10,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,19,900,0,19
12/26/2022,10,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,13,900,0,13
12/26/2022,10,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,20,900,0,20
12/26/2022,11,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,45,900,0,45
12/26/2022,11,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,25,900,0,25
12/26/2022,11,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,25,900,0,25
12/26/2022,11,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,19,900,0,19
12/26/2022,11,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,11,900,0,11
12/26/2022,11,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,17,900,0,17
12/26/2022,11,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,40,900,0,40
12/26/2022,11,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,30,900,0,30
12/26/2022,11,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,23,900,0,23
12/26/2022,11,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,18,900,0,18
12/26/2022,11,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,12,900,0,12
12/26/2022,11,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,14,900,0,14
12/26/2022,11,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,44,900,0,44
12/26/2022,11,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,31,900,0,31
12/26/2022,11,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,24,900,0,24
12/26/2022,11,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,21,900,0,21
12/26/2022,11,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,11,900,0,11
12/26/2022,11,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,17,900,0,17
12/26/2022,11,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,55,900,0,55
12/26/2022,11,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,30,900,0,30
12/26/2022,11,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,27,900,0,27
12/26/2022,11,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,23,900,0,23
12/26/2022,11,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,12,900,0,12
12/26/2022,11,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,18,900,0,18
12/26/2022,12,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,51,900,0,51
12/26/2022,12,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,31,900,0,31
12/26/2022,12,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,25,900,0,25
12/26/2022,12,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,20,900,0,20
12/26/2022,12,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,11,900,0,11
12/26/2022,12,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,20,900,0,20
12/26/2022,12,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,56,900,0,56
12/26/2022,12,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,29,900,0,29
12/26/2022,12,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,26,900,0,26
12/26/2022,12,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,20,900,0,20
12/26/2022,12,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,11,900,0,11
12/26/2022,12,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,17,900,0,17
12/26/2022,12,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,53,900,0,53
12/26/2022,12,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,27,900,0,27
12/26/2022,12,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,26,900,0,26
12/26/2022,12,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,25,900,0,25
12/26/2022,12,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,9,900,0,9
12/26/2022,12,30,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,16,900,0,16
12/26/2022,12,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,54,900,0,54
12/26/2022,12,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,31,900,0,31
12/26/2022,12,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,31,900,0,31
12/26/2022,12,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,18,900,0,18
12/26/2022,12,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,9,900,0,9
12/26/2022,12,45,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,13,900,0,13
12/26/2022,13,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,47,900,0,47
12/26/2022,13,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,26,900,0,26
12/26/2022,13,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,30,900,0,30
12/26/2022,13,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,7,2561,900,0,23,900,0,23
12/26/2022,13,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,1,5230,900,0,10,900,0,10
12/26/2022,13,00,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,3,7,2561,900,0,14,900,0,14
12/26/2022,13,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,1,5230,900,0,48,900,0,48
12/26/2022,13,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,1,7,2561,900,0,26,900,0,26
12/26/2022,13,15,South Central,South Central,182,LittleRock,HARRISON_DOWNTOWN,182023,2,1,5230,900,0,28,900,0,28
